Enemy,Passive Effect,HP,Strength,Agility,Armor,Description,Color Code,Symbol,Highest Hit
Ancestor,Only spawns from the ancestor sword.,12,0,1,0,This ancestor is angered that Sweeper abused the Ancestor Sword.,#AA7700,A,6
Bat,Movements are sporatic and random.,4,-2,2,0,"Bats flutter about in dark places, in a mostly harmless manner.",#996633,b,1
Beast,N/A,28,3,3,1,"A rampaging, lunging whirlwind of thick fur and sharp teeth and red, red eyes.",#660000,B,11
Behemoth,N/A,36,4,-2,2,"A massive creature of scales, muscle, and sharp glaring eyes.",#00CC33,B,12
Cat,Able to walk on unrevealed tiles.,3,-2,4,0,"How'd you get down here?  Go away, kitty",#AA5511,c,1
Cultist,N/A,9,0,0,0,"Cultists are crazed humans, sworn to protect and serve the Tyrant.",#AA0000,C,4
CultistLeader,N/A,15,2,2,0,"This cultist has struggled to the top of the Tyrant's dire ladder, and gained the strength necessary to lead.",#AAAA00,C,8
Enlarged Badger,N/A,8,0,2,0,"A badger is a fierce little animal - oh, wait.  Maybe not that little.",#EEEEEE,b,4
Enlarged Rat,Has a 5% chjance on hit to apply poison.,5,-1,1,0,"Rats have thrived down here, and grown large and strong.",#BB7700,r,2
Enlarged Serpent,Has a 25% chance on hit to apply poison.,11,1,2,0,These underground snakes have somehow grown to the size of humans.,#00CC00,S,5
Ghoul,Has a 25% chance on hit to apply stiff.,18,1,-1,0,"Ghouls are lost humans, on the very threshold of the undead world.",#33AA00,G,7
Grunt,N/A,6,0,-1,0,"Grunts are dull-witted monsters that trod towards the nearest enemy, then thump away.",#AA0000,G,4
Invisible Stalker,Completely invisible.,18,1,3,0,It's not as big an advantage as you'd think.,#000000, ,5
Iron Golem,May only attack every other turn.,25,5,-2,2,"A giant mechanical stomper of a creature - slow, but unstoppable.",#DDDDDD,I,11
Mosquito,Has a 25% chance on hit to apply anemia.,1,-2,2,0,"A tiny insect, mostly harmless; but sometimes it carries disease.",#DD0000,m,0
Reaper,N/A,999,7,7,0,"The Reaper is a powerful, relentless spirit, who chases the dawdling and idling.",#555555,R,19
Sentry,Cannot move.,10,2,0,1,"A sentry doesn\'t move, but protects its space aggressively from any passers-by.",#EEEEEE,S,10
Skeleton,N/A,12,1,0,2,"Being nothing but bones, a rattling old skeleton is its own armor.",#FFFFCC,S,5
Slime,Has a 15% chance on hit to discard player's weapon.,12,-1,-1,5,"A liquid body shrugs off swords, and energy blasts - humble, but difficult to kill.",#00FF00,s,3
Spectre,Has a 25% chance on hit to remove player experience.,21,-1,3,0,"Spectres are powerful ghosts, turned bitter and evil from loneliness.",#6666AA,S,3
Tyrant,N/A,50,7,5,0,THE TYRANT OF THE PIT ABSOLUTELY HAS TO DIE,#CC0000,T,15
Whirling Sword,May only attack every other turn.,12,2,2,3,"The whirling, animated sword advances - slowly, but surely.",#3333FF,S,8
Zombie,Has a 40% chance to fail to move.,4,-1,-3,0,"Zombies are slow, shuffling, and weak.. but they are almost never alone.",#338800,Z,2